gender,age,standard_seconds_5k
M,5,1390
M,6,1249
M,7,1142
M,8,1059
M,9,993
M,10,941
M,11,898
M,12,865
M,13,837
M,14,816
M,15,800
M,16,788
M,17,778
M,18,771
M,19,769
M,20,769
M,21,769
M,22,769
M,23,769
M,24,769
M,25,769
M,26,769
M,27,769
M,28,769
M,29,769
M,30,769
M,31,770
M,32,772
M,33,775
M,34,779
M,35,784
M,36,790
M,37,795
M,38,801
M,39,807
M,40,813
M,41,819
M,42,825
M,43,831
M,44,838
M,45,844
M,46,851
M,47,857
M,48,864
M,49,871
M,50,878
M,51,885
M,52,892
M,53,899
M,54,907
M,55,914
M,56,922
M,57,930
M,58,938
M,59,946
M,60,954
M,61,962
M,62,971
M,63,980
M,64,988
M,65,997
M,66,1007
M,67,1016
M,68,1026
M,69,1036
M,70,1048
M,71,1061
M,72,1075
M,73,1090
M,74,1107
M,75,1125
M,76,1145
M,77,1167
M,78,1190
M,79,1216
M,80,1244
M,81,1274
M,82,1308
M,83,1345
M,84,1385
M,85,1430
M,86,1479
M,87,1533
M,88,1594
M,89,1662
M,90,1737
M,91,1824
M,92,1922
M,93,2033
M,94,2163
M,95,2315
M,96,2494
M,97,2709
M,98,2971
M,99,3298
M,100,3717
F,5,1208
F,6,1155
F,7,1108
F,8,1067
F,9,1031
F,10,999
F,11,970
F,12,945
F,13,922
F,14,902
F,15,884
F,16,867
F,17,850
F,18,838
F,19,834
F,20,834
F,21,834
F,22,834
F,23,834
F,24,834
F,25,834
F,26,834
F,27,834
F,28,835
F,29,836
F,30,837
F,31,839
F,32,842
F,33,845
F,34,848
F,35,852
F,36,856
F,37,861
F,38,866
F,39,872
F,40,878
F,41,885
F,42,892
F,43,900
F,44,909
F,45,919
F,46,929
F,47,939
F,48,949
F,49,960
F,50,971
F,51,982
F,52,993
F,53,1005
F,54,1017
F,55,1029
F,56,1041
F,57,1054
F,58,1067
F,59,1081
F,60,1094
F,61,1108
F,62,1123
F,63,1138
F,64,1153
F,65,1169
F,66,1185
F,67,1202
F,68,1219
F,69,1236
F,70,1254
F,71,1273
F,72,1292
F,73,1312
F,74,1332
F,75,1353
F,76,1375
F,77,1397
F,78,1421
F,79,1448
F,80,1479
F,81,1512
F,82,1550
F,83,1591
F,84,1637
F,85,1689
F,86,1747
F,87,1811
F,88,1884
F,89,1967
F,90,2061
F,91,2169
F,92,2294
F,93,2439
F,94,2610
F,95,2814
F,96,3061
F,97,3366
F,98,3752
F,99,4253
F,100,4929
